id	icecream_van_id	latitude	longitude	velocity	created_at
441704578	14	51.1612821	4.1154323	5.484780311584473	2026-05-02 10:37:32
441704651	14	51.1612687	4.115312	4.989874839782715	2026-05-02 10:37:34
441704716	14	51.1612861	4.1151592	5.679397106170654	2026-05-02 10:37:36
441704789	14	51.1612852	4.1149859	5.720755577087402	2026-05-02 10:37:38
441704858	14	51.1612172	4.1148705	5.989095211029053	2026-05-02 10:37:40
441704923	14	51.1610866	4.1148136	6.90789794921875	2026-05-02 10:37:42
441704998	14	51.1609514	4.1147476	7.0849103927612305	2026-05-02 10:37:44
441705066	14	51.1608397	4.1145586	7.94132661819458	2026-05-02 10:37:46
441705152	14	51.1607228	4.1142611	9.136453628540039	2026-05-02 10:37:48
441705211	14	51.1606023	4.1139183	10.400962829589844	2026-05-02 10:37:50
441705282	14	51.1604676	4.1135388	11.755438804626465	2026-05-02 10:37:52
441705350	14	51.160327	4.1131365	12.945268630981445	2026-05-02 10:37:54
441705419	14	51.1601775	4.1127119	14.104875564575195	2026-05-02 10:37:56
441705485	14	51.1600085	4.1122671	15.2630033493042	2026-05-02 10:37:58
441705551	14	51.1598303	4.1118167	16.192523956298828	2026-05-02 10:38:00
441705616	14	51.1596642	4.1113601	16.864580154418945	2026-05-02 10:38:02
441705680	14	51.1595395	4.1108733	17.471345901489258	2026-05-02 10:38:04
441705747	14	51.1594642	4.1103818	17.61237907409668	2026-05-02 10:38:06
441705809	14	51.1593836	4.1098898	17.564395904541016	2026-05-02 10:38:08
441705876	14	51.1592594	4.1094197	17.599018096923828	2026-05-02 10:38:10
441705942	14	51.1590766	4.1089898	17.686676025390625	2026-05-02 10:38:12
441706006	14	51.1588383	4.10863	17.704126358032227	2026-05-02 10:38:14
441706074	14	51.1585682	4.1083461	17.58481216430664	2026-05-02 10:38:16
441706140	14	51.1582736	4.1081508	17.596410751342773	2026-05-02 10:38:18
441706209	14	51.1579695	4.1080431	17.678749084472656	2026-05-02 10:38:20
441706277	14	51.1576627	4.1080115	17.703235626220703	2026-05-02 10:38:22
441706347	14	51.1573501	4.1080655	17.081987380981445	2026-05-02 10:38:24
441706423	14	51.1570421	4.108203	16.70956039428711	2026-05-02 10:38:26
441706492	14	51.1567641	4.1083993	16.235103607177734	2026-05-02 10:38:28
441706561	14	51.1565294	4.1086719	15.700798034667969	2026-05-02 10:38:30
441706632	14	51.1563347	4.1089795	15.176427841186523	2026-05-02 10:38:32
441706702	14	51.1561759	4.1093303	14.787402153015137	2026-05-02 10:38:34
441706773	14	51.1560382	4.1096829	14.528558731079102	2026-05-02 10:38:36
441706843	14	51.1559381	4.1100552	14.29326343536377	2026-05-02 10:38:38
441706914	14	51.1558436	4.1104296	14.22384262084961	2026-05-02 10:38:40
441707000	14	51.1557568	4.1108193	14.270854949951172	2026-05-02 10:38:42
441707069	14	51.1556717	4.1112077	14.18506908416748	2026-05-02 10:38:44
441707137	14	51.1555959	4.1115449	13.278696060180664	2026-05-02 10:38:46
441707195	14	51.1555225	4.1118177	11.803177833557129	2026-05-02 10:38:48
441707254	14	51.1554694	4.1119919	8.175518035888672	2026-05-02 10:38:50
441707320	14	51.1554379	4.1120583	4.5561842918396	2026-05-02 10:38:52
441707385	14	51.155408	4.1121263	4.250957489013672	2026-05-02 10:38:54
441707446	14	51.1553788	4.1121976	3.702343463897705	2026-05-02 10:38:56
441707513	14	51.1553425	4.1122701	3.8287224769592285	2026-05-02 10:38:58
441707572	14	51.1552918	4.1123716	4.38070011138916	2026-05-02 10:39:00
441707647	14	51.1552259	4.1124791	4.250202178955078	2026-05-02 10:39:02
441707712	14	51.1552045	4.112521	1.9149521589279175	2026-05-02 10:39:04
441707851	14	51.155191	4.1125398	1.4351621866226196	2026-05-02 10:39:08
441707917	14	51.1551702	4.1125793	1.3592711687088013	2026-05-02 10:39:10
441708233	14	51.1551247	4.1126809	1.8267014026641846	2026-05-02 10:39:18
441708315	14	51.1550697	4.1127808	2.7928884029388428	2026-05-02 10:39:20
441708406	14	51.1550147	4.1128817	3.347748279571533	2026-05-02 10:39:22
441708482	14	51.1549572	4.1129811	3.644986867904663	2026-05-02 10:39:24
441708563	14	51.1549205	4.1130348	2.329406976699829	2026-05-02 10:39:26
441708646	14	51.1548978	4.1130558	1.785608172416687	2026-05-02 10:39:28
441708738	14	51.1548496	4.1130705	3.0527539253234863	2026-05-02 10:39:30
441708816	14	51.1547465	4.1130958	4.629183769226074	2026-05-02 10:39:32
441708899	14	51.1546356	4.1131507	5.124327659606934	2026-05-02 10:39:34
441708981	14	51.1545486	4.1132775	5.694920063018799	2026-05-02 10:39:36
441709061	14	51.1545086	4.1134699	6.992184638977051	2026-05-02 10:39:38
441709144	14	51.1544769	4.1136651	6.851850986480713	2026-05-02 10:39:40
441709226	14	51.1543677	4.1138378	7.572018623352051	2026-05-02 10:39:42
441709306	14	51.1542022	4.1139615	9.073933601379395	2026-05-02 10:39:44
441709384	14	51.1539976	4.1140245	11.062114715576172	2026-05-02 10:39:46
441709465	14	51.1537916	4.1141001	11.139253616333008	2026-05-02 10:39:48
441709545	14	51.1536084	4.114282	11.401880264282227	2026-05-02 10:39:50
441709622	14	51.1534362	4.1145201	11.750638008117676	2026-05-02 10:39:52
441709699	14	51.1532548	4.1147963	12.352426528930664	2026-05-02 10:39:54
441709775	14	51.1530623	4.1150739	12.936036109924316	2026-05-02 10:39:56
441709847	14	51.1528607	4.1153727	13.612347602844238	2026-05-02 10:39:58
441709911	14	51.1526435	4.1156882	14.416476249694824	2026-05-02 10:40:00
441709990	14	51.1524152	4.1160252	15.279057502746582	2026-05-02 10:40:02
441710066	14	51.1521758	4.1163813	16.100414276123047	2026-05-02 10:40:04
441710140	14	51.1519285	4.116757	16.916488647460938	2026-05-02 10:40:06
441710215	14	51.1516808	4.1171406	17.603628158569336	2026-05-02 10:40:08
441710291	14	51.1514342	4.117556	18.230979919433594	2026-05-02 10:40:10
441710366	14	51.1511961	4.1179717	18.623048782348633	2026-05-02 10:40:12
441710444	14	51.1509548	4.1183976	19.03059959411621	2026-05-02 10:40:14
441710521	14	51.1507141	4.118826	19.320068359375	2026-05-02 10:40:16
441710595	14	51.1504794	4.1192591	19.53697967529297	2026-05-02 10:40:18
441710666	14	51.1502505	4.1197068	19.70780372619629	2026-05-02 10:40:20
441710734	14	51.1500243	4.1201512	19.785842895507812	2026-05-02 10:40:22
441710802	14	51.1497973	4.1205936	19.829648971557617	2026-05-02 10:40:24
441710870	14	51.1495743	4.1210334	19.775819778442383	2026-05-02 10:40:26
441710937	14	51.1493615	4.1214711	19.620201110839844	2026-05-02 10:40:28
441711003	14	51.1491452	4.1218989	19.505428314208984	2026-05-02 10:40:30
441711069	14	51.1489273	4.1223352	19.534461975097656	2026-05-02 10:40:32
441711141	14	51.1487045	4.1227796	19.608415603637695	2026-05-02 10:40:34
441711208	14	51.1484842	4.1232223	19.658103942871094	2026-05-02 10:40:36
441711283	14	51.1482665	4.1236697	19.715085983276367	2026-05-02 10:40:38
441711354	14	51.1480418	4.1241249	19.851526260375977	2026-05-02 10:40:40
441711427	14	51.1478126	4.124579	19.99611473083496	2026-05-02 10:40:42
441711499	14	51.1475886	4.1250354	20.064781188964844	2026-05-02 10:40:44
441711572	14	51.1473679	4.1254849	20.043224334716797	2026-05-02 10:40:46
441711647	14	51.14714	4.1259471	20.18931770324707	2026-05-02 10:40:48
441711720	14	51.1469122	4.126421	20.37053108215332	2026-05-02 10:40:50
441711799	14	51.1466848	4.1268924	20.467010498046875	2026-05-02 10:40:52
441711865	14	51.1464661	4.1273509	20.354082107543945	2026-05-02 10:40:54
441711940	14	51.1462429	4.1277873	20.11176872253418	2026-05-02 10:40:56
441712011	14	51.1460308	4.128214	19.79923439025879	2026-05-02 10:40:58
441712087	14	51.1458204	4.1286196	19.35540008544922	2026-05-02 10:41:00
441712161	14	51.1456067	4.129011	18.94780158996582	2026-05-02 10:41:02
441712234	14	51.1454112	4.1293837	18.31731605529785	2026-05-02 10:41:04
441712321	14	51.1452339	4.1297359	17.3983154296875	2026-05-02 10:41:06
441712396	14	51.145093	4.1300225	15.823566436767578	2026-05-02 10:41:08
441712476	14	51.1449727	4.1303014	14.405543327331543	2026-05-02 10:41:10
441712569	14	51.1448689	4.1305419	12.746598243713379	2026-05-02 10:41:12
441712659	14	51.1447832	4.1307459	11.153166770935059	2026-05-02 10:41:14
441712744	14	51.1447028	4.1309107	9.489041328430176	2026-05-02 10:41:16
441712824	14	51.1446452	4.131033	7.33271598815918	2026-05-02 10:41:18
441712899	14	51.1445984	4.1311182	5.89453125	2026-05-02 10:41:20
441712983	14	51.1445478	4.1312399	6.010608673095703	2026-05-02 10:41:22
441713064	14	51.1444663	4.1314046	6.580846309661865	2026-05-02 10:41:24
441713149	14	51.1443564	4.131625	7.583319664001465	2026-05-02 10:41:26
441713233	14	51.1442302	4.131886	8.742361068725586	2026-05-02 10:41:28
441713315	14	51.1440823	4.1321804	10.03580379486084	2026-05-02 10:41:30
441713400	14	51.143912	4.1325182	11.53507137298584	2026-05-02 10:41:32
441713483	14	51.1437252	4.1329055	13.08409595489502	2026-05-02 10:41:34
441713563	14	51.1435279	4.1333031	14.398970603942871	2026-05-02 10:41:36
441713648	14	51.1433165	4.1337274	15.700334548950195	2026-05-02 10:41:38
441713729	14	51.1430979	4.1341698	16.848608016967773	2026-05-02 10:41:40
441713807	14	51.1428694	4.1346357	17.91463851928711	2026-05-02 10:41:42
441713886	14	51.1426313	4.1351081	18.876312255859375	2026-05-02 10:41:44
441713966	14	51.1423825	4.1356021	19.779226303100586	2026-05-02 10:41:46
441714046	14	51.1421318	4.136094	20.44792938232422	2026-05-02 10:41:48
441714125	14	51.1418791	4.1365651	20.794132232666016	2026-05-02 10:41:50
441714209	14	51.1416245	4.1370312	21.013721466064453	2026-05-02 10:41:52
441714291	14	51.1413688	4.1374915	21.14164161682129	2026-05-02 10:41:54
441714373	14	51.1411098	4.1379421	21.18686866760254	2026-05-02 10:41:56
441714455	14	51.140849	4.1383901	21.248090744018555	2026-05-02 10:41:58
441714531	14	51.1405786	4.1388423	21.430448532104492	2026-05-02 10:42:00
441714620	14	51.1402979	4.1392912	21.639232635498047	2026-05-02 10:42:02
441714714	14	51.140006	4.1397489	21.953258514404297	2026-05-02 10:42:04
441714795	14	51.1396992	4.1402016	22.346967697143555	2026-05-02 10:42:06
441714876	14	51.1393946	4.1406341	22.401145935058594	2026-05-02 10:42:08
441714955	14	51.1390938	4.1410182	22.10069465637207	2026-05-02 10:42:10
441715031	14	51.1387898	4.141374	21.73673439025879	2026-05-02 10:42:12
