call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
655249	NULL	NULL	51.123	4.218	51.123	4.218	10+	9140	Temse	België	2026-05-01 17:00:00	0	2026-05-01 16:45:20	2026-05-01 16:45:20
655250	NULL	NULL	51.175	4.142	NULL	NULL	5-6	9100	Sint-Niklaas	België	2026-05-01 17:00:00	1	2026-05-01 16:45:20	2026-05-01 16:45:20
655256	NULL	NULL	50.988	4.14	50.988	4.14	1-2	9280	Lebbeke	België	2026-05-01 18:00:00	0	2026-05-01 16:47:03	2026-05-01 16:47:03
655259	NULL	NULL	51.177	4.144	51.177	4.144	1-2	9100	Sint-Niklaas	België	2026-05-01 18:00:00	1	2026-05-01 16:47:53	2026-05-01 16:47:53
655262	168022	13	51.057	4.108	51.057	4.108	3-4	9200	Dendermonde	België	2026-05-01 19:30:00	1	2026-05-01 16:48:09	2026-05-01 17:15:35
655265	NULL	NULL	51.092	4.108	51.092	4.108	3-4	9220	Hamme	België	2026-05-01 17:30:00	0	2026-05-01 16:48:19	2026-05-01 16:48:19
655267	168087	11	51.028	4.153	51.028	4.153	10+	9200	Dendermonde	België	2026-05-01 17:00:00	0	2026-05-01 16:48:41	2026-05-01 16:49:34
655271	NULL	NULL	51.108	3.952	51.108	3.952	5-6	9160	Lokeren	België	2026-05-01 17:45:00	0	2026-05-01 16:49:32	2026-05-01 16:49:32
655272	NULL	NULL	51.074	4.176	51.075	4.176	7-8	9220	Hamme	België	2026-05-01 19:00:00	0	2026-05-01 16:49:37	2026-05-01 16:49:37
655282	NULL	NULL	51.098	4.244	NULL	NULL	1-2	2880	Bornem	België	2026-05-01 19:00:00	0	2026-05-01 16:52:12	2026-05-01 16:52:12
655284	NULL	NULL	51.097	3.999	51.097	3.999	1-2	9160	Lokeren	België	2026-05-01 17:00:00	1	2026-05-01 16:52:35	2026-05-01 16:52:36
655285	NULL	NULL	51.096	4.124	51.096	4.124	3-4	9220	Hamme	België	2026-05-01 18:00:00	0	2026-05-01 16:52:41	2026-05-01 16:52:41
655287	NULL	NULL	51.126	4.107	51.126	4.107	7-8	9250	Waasmunster	België	2026-05-01 18:15:00	0	2026-05-01 16:53:08	2026-05-01 16:53:08
