call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
656724	168188	5	51.048	4.095	51.048	4.095	1-2	9200	Dendermonde	België	2026-05-02 13:30:00	0	2026-05-02 13:16:18	2026-05-02 13:44:06
656726	168188	5	51.056	4.086	51.056	4.086	3-4	9200	Dendermonde	België	2026-05-02 14:00:00	1	2026-05-02 13:18:36	2026-05-02 14:52:17
656727	168213	11	51.207	4.078	51.207	4.078	10+	9190	Stekene	België	2026-05-02 14:30:00	0	2026-05-02 13:19:02	2026-05-02 14:16:01
656728	NULL	NULL	51.2	4.342	51.2	4.342	1-2	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 19:00:00	0	2026-05-02 13:19:24	2026-05-02 13:19:24
656734	NULL	NULL	51.092	4.248	51.092	4.248	1-2	2880	Bornem	België	2026-05-02 14:00:00	0	2026-05-02 13:23:40	2026-05-02 13:23:40
656737	NULL	NULL	51.219	4.338	NULL	NULL	3-4	2070	Zwijndrecht	België	2026-05-02 14:00:00	0	2026-05-02 13:24:11	2026-05-02 13:24:11
656741	168188	5	51.02	4.125	NULL	NULL	7-8	9200	Dendermonde	België	2026-05-02 14:30:00	0	2026-05-02 13:24:24	2026-05-02 15:37:21
656743	168188	5	51.043	4.103	51.057	4.113	3-4	9200	Dendermonde	België	2026-05-02 14:15:00	0	2026-05-02 13:24:33	2026-05-02 14:03:27
656746	168197	6	51.006	4.131	51.006	4.131	1-2	9280	Lebbeke	België	2026-05-02 16:00:00	0	2026-05-02 13:26:55	2026-05-02 15:27:49
656750	NULL	NULL	51.115	4.163	51.115	4.162	1-2	9140	Temse	België	2026-05-02 13:30:00	0	2026-05-02 13:27:19	2026-05-02 13:27:19
656753	NULL	NULL	51.145	4.29	51.145	4.291	5-6	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 14:00:00	0	2026-05-02 13:28:46	2026-05-02 13:28:46
656754	168189	10	51.062	4.03	51.062	4.03	3-4	9240	Zele	België	2026-05-02 14:30:00	1	2026-05-02 13:28:46	2026-05-02 14:06:44
656761	NULL	NULL	50.989	4.156	50.989	4.156	1-2	9280	Lebbeke	België	2026-05-02 15:00:00	0	2026-05-02 13:35:22	2026-05-02 13:35:22
656764	168198	8	51.136	4.275	51.135	4.275	3-4	9150	Temse	België	2026-05-02 14:00:00	1	2026-05-02 13:36:08	2026-05-02 13:37:26
656766	NULL	NULL	50.996	4.168	50.996	4.168	1-2	9280	Lebbeke	België	2026-05-02 14:45:00	0	2026-05-02 13:38:03	2026-05-02 13:38:03
656767	168189	10	51.062	4.026	51.062	4.026	1-2	9240	Zele	België	2026-05-02 13:45:00	1	2026-05-02 13:38:10	2026-05-02 13:44:01
656770	NULL	NULL	51.122	4.112	51.122	4.112	3-4	9250	Waasmunster	België	2026-05-02 15:45:00	0	2026-05-02 13:39:33	2026-05-02 13:39:33
656773	NULL	NULL	51.292	4.17	51.292	4.17	1-2	9130	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 18:00:00	0	2026-05-02 13:41:09	2026-05-02 13:41:09
656774	NULL	NULL	51.199	4.297	51.199	4.297	3-4	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 15:00:00	0	2026-05-02 13:41:18	2026-05-02 13:41:18
656775	NULL	NULL	51.16	4.143	51.16	4.143	1-2	9100	Sint-Niklaas	België	2026-05-02 14:00:00	0	2026-05-02 13:41:19	2026-05-02 13:41:19
656776	168213	11	51.207	4.078	51.207	4.078	7-8	9190	Stekene	België	2026-05-02 14:00:00	0	2026-05-02 13:41:52	2026-05-02 14:15:59
656778	168195	102	51.209	4.349	51.209	4.349	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 20:00:00	0	2026-05-02 13:42:56	2026-05-02 16:17:02
656780	168195	102	51.209	4.349	51.209	4.349	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 19:00:00	0	2026-05-02 13:43:18	2026-05-02 14:35:45
656785	168194	34	51.155	4.14	51.156	4.141	3-4	9100	Sint-Niklaas	België	2026-05-02 15:00:00	0	2026-05-02 13:44:49	2026-05-02 14:48:54
656786	NULL	NULL	51.069	4.081	51.069	4.081	10+	9240	Zele	België	2026-05-02 14:00:00	0	2026-05-02 13:44:51	2026-05-02 13:44:51
656787	NULL	NULL	50.988	4.14	NULL	NULL	3-4	9280	Lebbeke	België	2026-05-02 14:00:00	0	2026-05-02 13:45:29	2026-05-02 13:45:29
656788	NULL	NULL	51.073	4.059	51.073	4.059	3-4	9240	Zele	België	2026-05-02 19:00:00	0	2026-05-02 13:45:38	2026-05-02 13:45:38
656791	NULL	NULL	51.06	4.017	51.06	4.017	3-4	9240	Zele	België	2026-05-02 14:30:00	1	2026-05-02 13:47:16	2026-05-02 13:47:16
656792	168188	5	51.048	4.095	51.048	4.095	1-2	9200	Dendermonde	België	2026-05-02 14:00:00	1	2026-05-02 13:47:59	2026-05-02 14:31:30
656794	NULL	NULL	51.017	4.112	NULL	NULL	3-4	9200	Dendermonde	België	2026-05-02 14:00:00	1	2026-05-02 13:48:26	2026-05-02 13:48:26
656795	168198	8	51.128	4.292	NULL	NULL	3-4	9150	Rupelmonde	België	2026-05-02 17:30:00	0	2026-05-02 13:50:36	2026-05-02 14:33:32
656799	NULL	NULL	51.094	4.157	51.099	4.132	10+	9220	Hamme	België	2026-05-02 14:45:00	0	2026-05-02 13:52:37	2026-05-02 13:52:37
656802	168163	13	51.106	3.973	NULL	NULL	3-4	9160	Lokeren	België	2026-05-02 15:15:00	0	2026-05-02 13:55:20	2026-05-02 14:36:42
656807	168240	5	51.031	4.115	51.031	4.115	1-2	9200	Dendermonde	België	2026-05-02 18:00:00	1	2026-05-02 14:00:06	2026-05-02 18:31:20
656808	NULL	NULL	51.063	4.035	51.063	4.035	3-4	9240	Zele	België	2026-05-02 14:30:00	1	2026-05-02 14:00:06	2026-05-02 14:00:06
656809	NULL	NULL	51.027	4.119	NULL	NULL	1-2	9200	Sint gillis dendermonde	België	2026-05-02 14:00:00	1	2026-05-02 14:00:19	2026-05-02 14:00:19
